Name,Discipline,COSPAR ID,Launch Mass,Onboard Power,Launch Date,Launch Vehicle,Launch Site,Periapsis,Apoapsis,Period,Inclination,Longitude,Eccentricity
"Mars Orbiter Mission (MOM)[262]
(Mangalyaan-1)",	Planetary Science[263],2013-060A,"1,340 kg (2,950 lb)[263]",840 W[264],"5 November 2013, 14:38:00 IST[265]",PSLV-C25[266]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",~ 366 km (227 mi)§ [263],"~ 80,000 km (50,000 mi)§ [263]",4602 mins§ [263],150§ [263],,
GSAT-14,	Communications[267],2014-001A,"1,982 kg (4,370 lb)[267]",2600 W[268],"5 January 2014, 16:18:00 IST[269]",GSLV Mk.II-D5[270]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,774.5 km (22,229.2 mi)[271]","35,813.6 km (22,253.5 mi)[271]",1436.1 mins[271],0.0[271],74.0 E[271],
IRNSS-1B,	Navigation/Global Positioning[272],2014-017A,"1,432 kg (3,157 lb)[273]",1660 W[272],"4 April 2014, 17:14:00 IST[274]",PSLV-C24[275]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,700.5 km (22,183.3 mi)[276]","35,883.1 km (22,296.7 mi)[276]",1436.0 mins[276],29.1[276],55.0 E[276],
IRNSS-1C,	Navigation/Global Positioning[277],2014-061A,"1,425.4 kg (3,142 lb)[278]",1660 W[278],16 October 2014[278],PSLV-C26[279]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,715.5 km (22,192.6 mi)[280]","35,872.6 km (22,290.2 mi)[280]",1436.1 mins[280],3[280],83 E[280],
GSAT-16,	Communications[281],2014-078A,"3,181.6 kg (7,014 lb)[282]",6000 W[282],"7 December 2014, 2:10:00 IST[283]",Ariane-5," Centre Spatial Guyanais, Kourou","35,762.5 km (22,221.8 mi)[284]","35,824.7 km (22,260.4 mi)[284]",1436.1 mins[284],0.1[284],55.0 E[284],
IRNSS-1D,	Navigation/Global Positioning[285],2015-018A,"1,425 kg (3,142 lb)[286]",1660 W[285],"28 March 2015, 17:19:00 IST[287]",PSLV-C27," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,704.7 km (22,185.9 mi)[288]","35,885.0 km (22,297.9 mi)[288]",1436.2 mins[288],29.1[288],112 E[288],
"GSAT-6
(INSAT-4E)[289]",	Communications[289],2015-041A,"2,117 kg (4,667 lb)[290]",3100 W[289],"27 August 2015, 16:52:00 IST[291]",GSLV Mk.II-D6[292]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,769.6 km (22,226.2 mi)[293]","35,818.4 km (22,256.5 mi)[293]",1436.1 mins[293],0.0[293],83 E[293],
Astrosat[294],	Space Sciences[295],2015-052A,"1,513 kg (3,336 lb)[295]",,28 September 2015,PSLV-C30," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",642.5 km (399.2 mi)[296],655 km (407 mi)[296],97.6 mins[296],6.0[296],,
GSAT-15,	Communications[297],2015-065A,"3,164 kg (6,975 lb)[298]",6200 W[298],"11 November 2015, 3:04:00 IST[299]",Ariane 5 VA-227," Centre Spatial Guyanais, Kourou","35,785.66 km (22,236.18 mi)[300]","35,802.6 km (22,246.7 mi)[300]",1436.1 mins[300],0.1[300],93.5 E[300],
IRNSS-1E,	Navigation/Global Positioning[301],2016-003A,"1,425 kg (3,142 lb)[302]",1660 W[303],"20 January 2016, 9:31:00 IST[304]",PSLV-C31[305]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,709.6 km (22,188.9 mi)[306]","35,875.2 km (22,291.8 mi)[306]",1436.0 mins[306],28.8[306],111.75 E[306],
IRNSS-1F,	Navigation/Global Positioning[307],2016-015A,"1,425 kg (3,142 lb)[307]",1660 W[308],"10 March 2016, 16:01:00 IST[309]",PSLV-C32[310]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,700.8 km (22,183.4 mi)[312]","35,889.2 km (22,300.5 mi)[312]",1436.2 mins[312],4.1[312],32.5 E[312],
